"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_TEXT","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device.","This is a big no no. Please dont use device in other window. Close all other windows or tabs that might be using your Trezor device."
"TR_DEVICE_IS_USED_IN_OTHER_WINDOW_BUTTON","Continue","","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue","Continue"
"TR_ENTER_PIN_HEADING","Enter PIN","","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN","Enter PIN"
"TR_ENTER_PIN_TEXT","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue.","Your device gets locked anytime you disconnect it. You now need to enter your PIN to continue."
"TR_RECONNECT_HEADER","Reconnect your device","","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device","Reconnect your device"
"TR_RECONNECT_TEXT","We lost connection with your device. This might mean:","","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:","We lost connection with your device. This might mean:"
"TR_RECONNECT_TROUBLESHOOT_CABEL","Cable is broken, try another one","","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one","Cable is broken, try another one"
"TR_RECONNECT_TROUBLESHOOT_CONNECTION","Device is not well connected to the cable","","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable","Device is not well connected to the cable"
"TR_RECONNECT_TROUBLESHOOT_BRIDGE","Trezor bridge might have stopped working, try restarting","","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting","Trezor bridge might have stopped working, try restarting"
"TR_BACKUP_INSTRUCTION","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","The last instruction before initiating backup process","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device.","Now your device is going to show you 24 words to backup your wallet. Write them down. Do not disconnect your device."
