"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_BACKUP_FINISHED_BUTTON","My recovery card is safe","Exit button after backup is finished","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe","My recovery card is safe"
"TR_BOOKMARK_HEADING","Browser bookmark","Heading in bookmark step","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark","Browser bookmark"
"TR_BOOKMARK_SUBHEADING","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Heading in bookmark step","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites.","Protect yourself against {TR_PHISHING_ATTACKS}. Bookmark Trezor Wallet (wallet.trezor.io) to avoid visiting fake sites."
"TR_PHISHING_ATTACKS","phishing attacks","Term, type of hacker attack trying to fool user to enter his sensitive data into a fake site.","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks","phishing attacks"
"TR_USE_THE_KEYBOARD_SHORTCUT","Use the keyboard shortcut:","We want user to pres Ctrl + D","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:","Use the keyboard shortcut:"
"TR_BRIDGE_HEADING","Trezor Bridge","Heading on bridge page","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge","Trezor Bridge"
"TR_BRIDGE_SUBHEADING","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Description what Trezor Bridge is","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser.","Trezor Bridge is a communication tool to facilitate the connection between your Trezor and your internet browser."
"TR_DOWNLOAD","Download","Download button","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download"
"TR_BRIDGE_IS_RUNNING","Trezor bridge is up and running","Text that indicates that browser can communicate with Trezor Bridge.","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running","Trezor bridge is up and running"
"TR_DETECTING_BRIDGE","Detecting Trezor Bridge instalation","Message to show after user clicks download bridge.","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation","Detecting Trezor Bridge instalation"
"TR_NOT_RUNNING","not running","Bridge status in box next to heading","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running","not running"
"TR_WAIT_FOR_FILE_TO_DOWNLOAD","Wait for file to download","Instruction for installing Trezor Bridge","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download","Wait for file to download"
"TR_DOUBLE_CLICK_IT_TO_RUN_INSTALLER","Double click it to run installer","Instruction for installing Trezor Bridge","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer","Double click it to run installer"
"TR_CHECK_PGP_SIGNATURE","Check PGP signature (optional)","Instruction for installing Trezor Bridge","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)","Check PGP signature (optional)"
"TR_TREZOR_BRIDGE_IS_NOT_RUNNING","Trezor Bridge is not running","","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running","Trezor Bridge is not running"
"TR_TREZOR_BRIDGE_IS_RUNNING_VERSION","Trezor Bridge is running. Version: {version}","","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}","Trezor Bridge is running. Version: {version}"
"TR_DEVICE_IN_BOOTLOADER_MODE","Device in bootloader mode","Indication that device is in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode","Device in bootloader mode"
"TR_DEVICE_IN_BOOTLOADER_MODE_INSTRUCTIONS","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Instructions what to do if device is in bootloader mode","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again.","Device is connected in bootloader mode. Plug out the USB cable and connect device again."
"TR_DEVICE_IS_INITIALIZED","Device is initialized","Indication that device is in already initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized","Device is initialized"
"TR_DEVICE_LABEL","Device label: {label}.","Display label of device","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}.","Device label: {label}."
"TR_DEVICE_FIRMWARE_VERSION","Device firmware: {firmware}.","Display firmware of device","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}.","Device firmware: {firmware}."
"TR_USER_HAS_WORKDED_WITH_THE_DEVICE","I have worked with it before","Option to click when troubleshooting initialized device.","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before","I have worked with it before"
"TR_USER_HAS_NOT_WORKDED_WITH_THIS_DEVICE","It is a brand new device, just unpacked","Option to click when troubleshooting initialized device.","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked","It is a brand new device, just unpacked"
"TR_INSTRUCTION_TO_SKIP_OR_WIPE","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","Instruction what to do when user knows the device he is holding was manipulated by him, not someone else.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again.","You might skip setup and continue to wallet or wipe your device to be able to go through the onboarding process again."
"TR_WIPE_WARNING","Danger zone here, wiping device erases all data and can not be reverted","Wipe device action warning.","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted","Danger zone here, wiping device erases all data and can not be reverted"
"TR_USER_HAS_NOT_WORKED_WITH_THIS_DEVICE_INSTRUCTIONS","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","What to do if device is already initialized but not by user.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device."
