"key","source","context","cs","en","fr","de","ru","es-ES"
"TR_RECONNECT_TROUBLESHOOT_BRIDGE","Trezor bridge might have stopped working, try restarting","","","","","","",""
"TR_RECONNECT_TROUBLESHOOT_CABEL","Cable is broken, try another one","","","","","","",""
"TR_RECONNECT_TROUBLESHOOT_CONNECTION","Device is not well connected to the cable","","","","","","",""
"TR_RECOVER_SUBHEADING","It is possible to re-create device from bip39 backup. First of all, chose number of words of your backup.","Subheading in recover page. Basic info about recovery","","","","","",""
"TR_RECOVER_SUBHEADING_MODEL_T","On model T the entire recovery process is doable on device.","Subheading in recover page. Basic info about recovery","","","","","",""
"TR_RECOVERY_ERROR","Device recovery failed with error: {error}","Error during recovery. For example wrong word retyped or device disconnected","","","","","",""
"TR_RECOVERY_SEED_IS","Recovery seed is a list of words in a specific order which store all the information needed.","","","","","","",""
"TR_RECOVERY_TYPES_DESCRIPTION","Both methods are safe. Basic recovery uses on computer input of words in randomized order. Advanced recovery uses on-screen input to load your recovery seed. {TR_LEARN_MORE_LINK}","There are two methods of recovery for T1. This is a short explanation text.","","","","","",""
"TR_REMEMBER_ALLOWS_YOU_TO","Remember allows you to access any wallet in watch-only mode without connected device.","","","","","","",""
"TR_REMEMBER_WALLET","Remember wallet","","","","","","",""
"TR_RESELLERS_LINK","a trusted reseller","Part of sentence TR_DID_YOU_PURCHASE. Link to page with trusted resellers list","","","","","",""
"TR_RETRY","Retry","Retry button","","","","","",""
"TR_RETRYING_DOT_DOT","Retrying...","","","","","","",""
"TR_SCAN_QR_CODE","Scan QR code","Title for the Scan QR modal dialog","","","","","",""
"TR_SECURITY_HEADING","Trezor successfully initialized!","Heading in security page","","","","","",""
"TR_SECURITY_SUBHEADING","Your Trezor has been successfully initialized and is ready to be used. Your Wallet has been successfully created and is ready to be used as well. Wheeee!","Text in security page","","","","","",""
"TR_SEED_MANUAL_LINK","recovery seed","Link. Part of TR_BACKUP_SUBHEADING_1","","","","","",""
"TR_SELECT_DEVICE","Select device","","","","","","",""
"TR_SELECT_PASSPHRASE_SOURCE","Select passphrase source on ""{deviceLabel}"" device.","","","","","","",""
"TR_SELECT_WALLET_TO_ACCESS","Select a wallet to access","","","","","","",""
"TR_SELECT_YOUR_DEVICE_HEADING","Select your device","Heading on select your device page","","","","","",""
"TR_SEND","Send {amount}","","","","","","",""
"TR_SEND_NETWORK","Send {network}","","","","","","",""
"TR_SEND_NETWORK_AND_TOKENS","Send {network} and tokens","","","","","","",""
"TR_SENT_TO_SELF","(Sent to self)","","","","","","",""
"TR_SET_PIN","Set pin","Button text","","","","","",""
"TR_SET_UP_NEW_PIN","Set up new PIN","","","","","","",""
"TR_SET_UP_STRONG_PIN_TO_PROTECT","Set up a strong PIN to protect your device from unauthorized access. The keypad layout is displayed on your connected Trezor device.","","","","","","",""
"TR_SETTINGS","Settings","","","","","","",""
"TR_SHOW_ADDRESS_I_WILL_TAKE_THE_RISK","Show address, I will take the risk","","","","","","",""
"TR_SHOW_ADVANCED_OPTIONS","Show advanced options","Shows advanced sending form","","","","","",""
"TR_SHOW_DETAILS","Show details","","","","","","",""
"TR_SHOW_DETAILS_IN_BLOCK_EXPLORER","Show details in Block Explorer","","","","","","",""
"TR_SHOW_OLDER_NEWS","Show older news","","","","","","",""
"TR_SHOW_ON_TREZOR","Show on Trezor","","","","","","",""
"TR_SHOW_UNVERIFIED_ADDRESS","Show unverified address","","","","","","",""
"TR_SIGN","Sign","Sign button in Sign and Verify form","","","","","",""
"TR_SIGN_MESSAGE","Sign Message","Header for the Sign and Verify form","","","","","",""
"TR_SIGNATURE","Signature","Used as a label for signature input field in Sign and Verify form","","","","","",""
"TR_SKIP","Skip","Button. Skip one step","","","","","",""
"TR_SKIP_ALL","Skip onboarding","Button. Skip the entire onboarding process.","","","","","",""
"TR_SKIP_ONBOARDING_HEADING","Skipping onboarding? One more thing…","","","","","","",""
"TR_SKIP_ONBOARDING_TEXT","If your device is initialiazed and you used Wallet or Suite before, that’s great! Did you initialize Trezor yourself? You should be the one doing it. If not, it might be dangerous.","","","","","","",""
"TR_SKIP_SECURITY","Skip backup and PIN","Button in security page (skip security setup)","","","","","",""
"TR_SOLVE_ISSUE","Solve issue","","","","","","",""
"TR_SOUTH","South","","","","","","",""
"TR_START_AGAIN","Start again","Button text","","","","","",""
"TR_START_BACKUP","Start backup","Button text","","","","","",""
"TR_START_RECOVERY","Start recovery","Button.","","","","","",""
"TR_STATUS","Status","","","","","","",""
"TR_STATUS_UNKNOWN","Status unknown","Device status","","","","","",""
"TR_STELLAR_WALLET","Stellar wallet","","","","","","",""
"TR_SUITE_VERSION","Suite version","","","","","","",""
"TR_SUPPORT","Support","","","","","","",""
"TR_SWITCH_DEVICE","Switch Device","","","","","","",""
"TR_TAKE_ME_BACK_TO_WALLET","Take me back to the wallet","","","","","","",""
"TR_TESTNET_COINS","Testnet coins","","","","","","",""
"TR_TESTNET_COINS_EXPLAINED","Testnet coins dont have any value but you still may use them to learn and experiment.","","","","","","",""
"TR_TEZOS_WALLET","Tezos wallet","","","","","","",""
"TR_THE_PIN_LAYOUT_IS_DISPLAYED","The PIN layout is displayed on your Trezor.","","","","","","",""
"TR_THIS_HIDDEN_WALLET_IS_EMPTY","This hidden Wallet is empty. To make sure you are in the correct Wallet, confirm Passphrase","","","","","","",""
"TR_THIS_HIDDEN_WALLET_IS_EMPTY_SOURCE","This hidden Wallet is empty. To make sure you are in the correct Wallet, select Passphrase source.","","","","","","",""
"TR_THIS_IS_PLACE_TO_SEE_ALL","This is a place to see all your devices. You can further set them up in Settings but here you can switch between devices and see their statuses.","","","","","","",""
"TR_TO_ACCESS_STANDARD_NO_PASSPHRASE","To access standard (no-passphrase) Wallet click the button below.","","","","","","",""
"TR_TO_FIND_YOUR_ACCOUNTS_AND","To find your accounts and funds we need to perform a coin discovery which will discover all your coins.","","","","","","",""
"TR_TO_PREVENT_PHISHING_ATTACKS_COMMA","To prevent phishing attacks, you should verify the address on your Trezor first. {claim}","","","","","","",""
"TR_HELP_TREZOR_SUITE_TEXT","Oh, by the way, we had to pay a hell lot of money to our lawyers to create some {TR_TOS_LINK}","","","","","","",""
"TR_TOS_LINK","Terms & Conditions.","","","","","","",""
"TR_TOTAL_INPUT","Total Input","","","","","","",""
"TR_TOTAL_OUTPUT","Total Output","","","","","","",""
"TR_TOTAL_PORTFOLIO_VALUE","Total portfolio value","","","","","","",""
"TR_TRANSACTION_DETAILS","Transaction details","","","","","","",""
"TR_TRANSACTION_ID","Transaction ID","","","","","","",""
"TR_TREZOR","Trezor","Link in header navigation","","","","","",""
"TR_TREZOR_BRIDGE_IS_NOT_RUNNING","Trezor Bridge is not running","","","","","","",""
"TR_TREZOR_BRIDGE_IS_RUNNING_VERSION","Trezor Bridge is running. Version: {version}","","","","","","",""
"TR_TRY_AGAIN","Try again","Try to run the process again","","","","","",""
"TR_TX_CONFIRMATIONS","{confirmationsCount} {confirmationsCount, plural, one {confirmation} other {confirmations}}","","","","","","",""
"TR_TX_CURRENT_VALUE","Current Value","","","","","","",""
"TR_TX_FEE","Fee","","","","","","",""
"TR_TX_HISTORICAL_VALUE_DATE","Historical Value ({date})","","","","","","",""
"TR_TX_TYPE","Type","","","","","","",""
"TR_UNAVAILABLE","Unavailable","Device status","","","","","",""
"TR_UNCONFIRMED_TX","Unconfirmed","","","","","","",""
"TR_UNDISCOVERED_WALLET","Undiscovered wallet","","","","","","",""
"TR_UNKNOWN","Unknown","","","","","","",""
"TR_UNKNOWN_CONFIRMATION_TIME","unknown","","","","","","",""
"TR_UNKNOWN_TRANSACTION","(Unknown transaction)","","","","","","",""
"TR_UNKOWN_ERROR_SEE_CONSOLE","Unknown error. See console logs for details.","","","","","","",""
"TR_UNLOCK","Unlock","","","","","","",""
"TR_UNREADABLE","Unreadable","Device status","","","","","",""
"TR_UNVERIFIED_ADDRESS_COMMA_CONNECT","Unverified address, connect your Trezor to verify it","","","","","","",""
"TR_UNVERIFIED_ADDRESS_COMMA_SHOW","Unverified address, show on Trezor.","","","","","","",""
"TR_UPLOAD_IMAGE","Upload Image","","","","","","",""
"TR_USED_IN_ANOTHER_WINDOW","Used in other window","Device status","","","","","",""
"TR_USER_HAS_NOT_WORKED_WITH_THIS_DEVICE","It is a brand new device, just unpacked","Option to click when troubleshooting initialized device.","","","","","",""
"TR_USER_HAS_NOT_WORKED_WITH_THIS_DEVICE_INSTRUCTIONS","In that case you should immediately contact Trezor support with detailed information on your purchase and refrain from using this device.","What to do if device is already initialized but not by user.","","","","","",""
"TR_USER_HAS_WORKED_WITH_THIS_DEVICE","I have worked with it before","Option to click when troubleshooting initialized device.","","","","","",""
"TR_VALUES","Values","","","","","","",""
"TR_VERIFY","Verify","Verify button in Sign and Verify form","","","","","",""
"TR_VERIFY_MESSAGE","Verify Message","Header for the Sign and Verify form","","","","","",""
"TR_VERSION_IS_LOADING","Version is loading","","","","","","",""
"TR_WAIT_FOR_FILE_TO_DOWNLOAD","Wait for file to download","Instruction for installing Trezor Bridge","","","","","",""
"TR_WAIT_FOR_REBOOT","Wait for your device to reboot","Info what is happening with users device.","","","","","",""
"TR_WALLET","Wallet","Category in Settings","","","","","",""
"TR_WALLET_DUPLICATE_DESC","The hidden wallet that you are trying to create already exists","","","","","","",""
"TR_WALLET_DUPLICATE_RETRY","Try again with different passphrase","","","","","","",""
"TR_WALLET_DUPLICATE_SWITCH","Switch to existing wallet","","","","","","",""
"TR_WALLET_DUPLICATE_TITLE","Passphrase duplicated","","","","","","",""
"TR_WAS_USED_IN_ANOTHER_WINDOW","Reload session","Device status","","","","","",""
"TR_WELCOME_MODAL_HEADING","Welcome to Trezor Suite!","","","","","","",""
"TR_WELCOME_MODAL_TEXT","The one place for all your crypto matters.","","","","","","",""
"TR_WELCOME_TO_TREZOR","First-time user or an ol’ Trezor fella?","","","","","","",""
"TR_WELCOME_TO_TREZOR_TEXT","Choose your path and let the Trezor Force be with you!.","","","","","","",""
"TR_WEST","West","","","","","","",""
"TR_WHAT_IS_PASSPHRASE","What is passphrase","","","","","","",""
"TR_WHAT_TO_DO_NOW","What to do now","","","","","","",""
"TR_WHATS_NEW","What's new","","","","","","",""
"TR_WIPING_YOUR_DEVICE","Wiping the device removes all its information. Only wipe your device if you have your device if you have your recovery seed at hand or there are no funds stored on this device.","","","","","","",""
"TR_WORDS","{count} words","Number of words. For example: 12 words","","","","","",""
"TR_XRP_DESTINATION_TAG","Destination tag","","","","","","",""
"TR_XRP_RESERVE_INFO","Ripple addresses require a minimum balance of {minBalance} XRP to activate and maintain the account. {TR_LEARN_MORE}","","","","","","",""
"TR_YOU_WERE_DISCONNECTED_DOT","You were disconnected.","","","","","","",""
"TR_YOUR_CURRENT_FIRMWARE","Your current firmware version is {version}","","","","","","",""
"TR_YOUR_CURRENT_VERSION","Your current Suite version is 1.2.0","","","","","","",""
"TR_YOUR_TREZOR_IS_NOT_BACKED_UP","Your Trezor is not backed up.","","","","","","",""
"TR_YOUR_WALLET_IS_READY_WHAT","Your Wallet is ready. What to do now?","","","","","","",""
"TR_MODAL_CONFIRM_TX_TITLE","Confirm transaction","","","","","","",""
"TR_MODAL_CONFIRM_TX_BUTTON","Confirm transaction","","","","","","",""
"TR_ADDRESS_FROM","From","","","","","","",""
"TR_EDIT","Edit","","","","","","",""
"TR_GAS_PRICE","Gas price","","","","","","",""
"TR_SEND_REVIEW_TRANSACTION","Review Transaction","","","","","","",""
"TR_TO","To","","","","","","",""
"TR_RECIPIENT_ADDRESS_TOOLTIP","TR_RECIPIENT_ADDRESS_TOOLTIP","","","","","","",""
"TR_SEND_DATA_TOOLTIP","TR_SEND_DATA_TOOLTIP","","","","","","",""
"TR_SEND_GAS_LIMIT_TOOLTIP","TR_SEND_GAS_LIMIT_TOOLTIP","","","","","","",""
"TR_SEND_GAS_PRICE_TOOLTIP","TR_SEND_GAS_PRICE_TOOLTIP","","","","","","",""
"TR_XRP_DESTINATION_TAG_TOOLTIP","TR_XRP_DESTINATION_TAG_TOOLTIP","","","","","","",""
"TR_SEND_FEE_TOOLTIP","TR_SEND_FEE_TOOLTIP","","","","","","",""
"TR_SEND_AMOUNT_TOOLTIP","TR_SEND_AMOUNT_TOOLTIP","","","","","","",""
