"key","source","context","cs","en","fr","de","ru","es-ES"
"TR_CHECK_PGP_SIGNATURE","Check PGP signature","","","","","","",""
"TR_CHECK_RECOVERY_SEED","Check recovery seed","","","","","","",""
"TR_CHECK_SEED","Check seed","","","","","","",""
"TR_CHECK_YOUR_DEVICE","Check your device","Placeholder in seed input asking user to pay attention to his device","","","","","",""
"TR_CHOOSE_BETWEEN_NO_PASSPHRASE","Choose between no-passphrase or hidden wallet with passphrase.","","","","","","",""
"TR_CLEAR","Clear","Clear form button","","","","","",""
"TR_CLOSE","Close","","","","","","",""
"TR_COIN_DISCOVERY_IN_PROGRESS","Coin discovery in progress…","","","","","","",""
"TR_COINS","Coins","","","","","","",""
"TR_COINS_SETTINGS_ALSO_DEFINES","Coins settings also defines the Discovery process when Trezor is connected. Each time you connect not remembered device, Trezor Suite needs to find out what accounts you have by going through each coin one by one. That can take between few seconds to few minutes if you allow all or too many coins.","","","","","","",""
"TR_CONFIRM_ACTION_ON_YOUR","Confirm action on your ""{deviceLabel}"" device.","","","","","","",""
"TR_CONFIRM_EMPTY_HIDDEN_WALLET","Confirm empty hidden wallet","","","","","","",""
"TR_CONFIRM_EMPTY_HIDDEN_WALLET_ON","Confirm empty hidden wallet passphrase on ""{deviceLabel}"" device.","","","","","","",""
"TR_CONFIRM_PASSPHRASE","Confirm passphrase","","","","","","",""
"TR_CONFIRM_PASSPHRASE_SOURCE","Confirm empty hidden wallet passphrase source on ""{deviceLabel}"" device.","","","","","","",""
"TR_CONFIRM_PIN","Confirm PIN","","","","","","",""
"TR_CONFIRMED_TX","Confirmed","","","","","","",""
"TR_CONNECT_DROPBOX","Connect Dropbox","","","","","","",""
"TR_CONNECT_TREZOR","Connect Trezor to continue...","","","","","","",""
"TR_CONNECT_TREZOR_TO_CONTINUE","Connect Trezor to continue","","","","","","",""
"TR_CONNECT_YOUR_DEVICE","Connect your device","Prompt to user to connect his device.","","","","","",""
"TR_CONNECT_YOUR_DEVICE_AGAIN","Connect your device again","Prompt to connect device.","","","","","",""
"TR_CONNECT_YOUR_TREZOR_TO_CHECK","Connect your Trezor to verify this address","","","","","","",""
"TR_CONNECTED","Connected","Device status","","","","","",""
"TR_CONNECTED_BOOTLOADER","Connected (bootloader mode)","Device status","","","","","",""
"TR_CONNECTED_DEVICE_IS_IN_BOOTLOADER","Connected device is in bootloader mode. Reconnect it to continue.","Text that indicates that user connected device in bootloader mode","","","","","",""
"TR_CONNECTED_NOT_INITIALIZED","Connected (not initialized)","Device status","","","","","",""
"TR_CONNECTED_SEEDLESS","Connected (seedless mode)","Device status","","","","","",""
"TR_CONNECTED_UPDATE_RECOMMENDED","Connected (update recommended)","Device status","","","","","",""
"TR_CONNECTED_UPDATE_REQUIRED","Connected (update required)","Device status","","","","","",""
"TR_CONNECTING_DOTDOTDOT","Connecting...","","","","","","",""
"TR_CONNECTION_STATUS","Connection Status","","","","","","",""
"TR_CONTACT_OUR_SUPPORT_LINK","contact our support","Part of sentence TR_DID_YOU_PURCHASE. Link to support","","","","","",""
"TR_CONTACT_SUPPORT","Contact support","Button to click to contact support","","","","","",""
"TR_CONTINUE","Continue","Continue button","","","","","",""
"TR_COPIED","Copied!","","","","","","",""
"TR_COPY_TO_CLIPBOARD","Copy to clipboard","","","","","","",""
"TR_CREATE_BACKUP","Create backup","","","","","","",""
"TR_CREATE_BACKUP_IN_3_MINUTES","Create a backup in 3 minutes","","","","","","",""
"TR_CURRENCY","Currency","","","","","","",""
"TR_CUSTOM_FEE","Custom","fee level","","","","","",""
"TR_CUSTOM_FEE_IS_NOT_SET","Fee is not set","","","","","","",""
"TR_CUSTOM_FEE_IS_NOT_VALID","Fee is not valid","","","","","","",""
"TR_CUSTOM_FEE_NOT_IN_RANGE","Allowed fee is between {minFee} and {maxFee}","","","","","","",""
"TR_DEACTIVATE_ALL","Deactivate all","","","","","","",""
"TR_DESTINATION_TAG_IS_NOT_NUMBER","Destination tag is not a number","","","","","","",""
"TR_DETECTING_BRIDGE","Detecting Trezor Bridge instalation","Message to show after user clicks download bridge.","","","","","",""
"TR_DEVICE","Device","Category in Settings","","","","","",""
"TR_DEVICE_DISCONNECTED_DURING_ACTION","Device disconnected during action","Error message","","","","","",""
